8
總	다 총
銃	총 총
築	쌓을 축
蓄	모을 축
忠	충성 충
蟲	벌레 충
取	가질 취
測	헤아릴 측
治	다스릴 치
置	둘 치
齒	이 치
侵	침노할 침
快	쾌할 쾌
態	모습 태
統	거느릴 통
退	물러날 퇴
波	물결 파
破	깨뜨릴 파
包	쌀 포
布	베 포
布	펼 포
布	보시 보
砲	대포 포
暴	사나울 폭
暴	모질 포
票	표 표
豊	풍년 풍
限	한할 한
港	항구 항
航	배 항
解	풀 해
鄕	시골 향
香	향기 향
虛	빌 허
驗	시험할 험
賢	어질 현
血	피 혈
協	화할 협
惠	은혜 혜
呼	부를 호
戶	집 호
護	도울 호
貨	재물 화
確	굳을 확
回	돌아올 회
興	일 흥
希	바랄 희
4
暇	틈 가
刻	새길 각
覺	깨달을 각
干	방패 간
看	볼 간
簡	간략할 간
簡	대쪽 간
敢	감히 감
甘	달 감
甲	갑옷 갑
降	내릴 강
降	항복할 항
更	고칠 경
更	다시 갱
居	살 거
巨	클 거
拒	막을 거
據	근거 거
傑	뛰어날 걸
儉	검소할 검
擊	칠 격
激	격할 격
堅	굳을 견
犬	개 견
傾	기울 경
鏡	거울 경
驚	놀랄 경
季	계절 계
戒	경계할 계
系	이어맬 계
繼	이을 계
階	섬돌 계
鷄	닭 계
孤	외로울 고
庫	곳집 고
穀	곡식 곡
困	곤할 곤
骨	뼈 골
孔	구멍 공
管	대롱 관
管	주관할 관
鑛	쇳돌 광
構	얽을 구
君	임금 군
群	무리 군
屈	굽힐 굴
窮	다할 궁
窮	궁할 궁
券	문서 권
勸	권할 권
卷	책 권
歸	돌아갈 귀
均	고를 균
劇	심할 극
勤	부지런할 근
筋	힘줄 근
奇	기특할 기
寄	부칠 기
機	틀 기
紀	벼리 기
納	들일 납
段	층계 단
徒	무리 도
盜	도둑 도
逃	도망할 도
亂	어지러울 란
卵	알 란
覽	볼 람
略	간략할 략
糧	양식 량
慮	생각할 려
烈	매울 렬
龍	용 룡
柳	버들 류
